Frequency,GB4,OS23-0002,OS23-0003,OS23-0004,OS23-0005-110,OS23-0005-110 (S),OS23-0005-120,OS23-0005-120(S),OS24-0005-020,OS24-0005-040,OS24-0005-050,OS24-0005-060
7500,-8.98E-06,-3.90E-09,-2.87E-10,-2.84E-08,-2.01E-05,-1.95E-05,-2.04E-05,-3.63E-07,-1.74E-05,-1.28E-05,-1.60E-06,-2.05E-05
10000,-8.59E-06,4.79E-08,-1.10E-10,2.35E-10,-9.50E-06,-1.02E-05,-9.24E-06,-2.27E-08,-9.69E-06,-8.46E-06,-8.60E-08,-1.09E-05
10000,-8.05E-06,2.65E-07,-7.69E-11,1.20E-10,-1.10E-05,-9.98E-06,-8.40E-06,-1.23E-08,-7.74E-06,-8.87E-06,-1.31E-08,-9.72E-06
10000,-8.55E-06,-2.50E-08,1.07E-10,-1.90E-09,-1.05E-05,-9.44E-06,-8.40E-06,-1.98E-08,-7.35E-06,-8.12E-06,-3.44E-08,-1.09E-05
10000,-8.79E-06,8.90E-08,1.72E-11,7.39E-09,-1.05E-05,-9.89E-06,-9.68E-06,-4.67E-08,-8.21E-06,-8.94E-06,1.03E-07,-1.07E-05
10000,-8.90E-06,3.62E-07,-1.86E-10,-2.55E-08,-9.46E-06,-9.73E-06,-9.73E-06,-9.59E-06,-7.35E-06,-7.58E-06,3.01E-08,-9.67E-06
10000,-8.73E-06,2.70E-07,8.00E-10,-1.35E-07,-1.03E-05,-9.40E-06,-9.69E-06,-9.66E-06,-7.37E-06,-8.05E-06,4.99E-07,-1.08E-05
10000,-8.92E-06,2.16E-08,1.34E-10,-1.84E-08,-9.35E-06,-8.72E-06,-9.07E-06,-9.71E-06,-8.50E-06,-8.08E-06,-9.78E-07,-9.75E-06
10000,-8.55E-06,3.26E-08,3.02E-10,1.89E-09,-9.45E-06,-8.87E-06,-9.41E-06,-9.59E-06,-7.68E-06,-7.98E-06,-7.80E-07,-1.09E-05
12000,-1.30E-05,-3.51E-08,-1.15E-10,-9.67E-09,-1.47E-05,-1.29E-05,-1.22E-05,-1.34E-05,-1.24E-05,-1.32E-05,2.27E-07,-1.65E-05
12000,-1.30E-05,2.06E-08,-7.67E-10,-6.82E-09,-1.39E-05,-1.88E-05,-1.27E-05,-1.23E-05,-1.16E-05,-1.44E-05,1.75E-08,-1.63E-05
12000,-1.31E-05,2.44E-08,-8.54E-11,4.26E-10,-1.49E-05,-1.96E-05,-1.30E-05,-1.31E-05,-1.23E-05,-1.35E-05,-1.24E-09,-1.57E-05
12000,-1.29E-05,1.89E-08,-2.28E-10,-1.73E-08,-1.40E-05,-1.98E-05,-1.17E-05,-1.31E-05,-1.31E-05,-1.40E-05,8.98E-10,-1.65E-05
12000,-1.23E-05,-3.56E-08,1.45E-10,2.18E-08,-1.47E-05,-1.99E-05,-1.15E-05,-1.28E-05,-1.33E-05,-1.26E-05,6.37E-07,-1.58E-05
